Year,CBSA,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus,owner_rate,renter_rate
2005,0,40743,34101,6642,257,2457,5958,7586,3447,3174,5332,4618,1272,1123,2035,1614,1190,680,0,0,0,0,0.8369781312127237,0.16302186878727634
2005,10900,40400,31427,8973,153,3577,7083,8140,2918,3175,2700,2586,1095,181,2418,2849,2477,1048,0,0,0,0,0.7778960396039604,0.2221039603960396
2005,12100,94472,68970,25502,980,7452,14735,16400,6754,5659,7839,7595,1556,3410,6992,7108,6368,1624,0,0,0,0,0.7300575831992548,0.2699424168007452
2005,35620,2128644,1497494,631150,9531,132043,332014,367263,155525,133928,176233,147368,43589,51866,190372,189103,146001,53808,0,0,0,0,0.7034966861532506,0.2965033138467494
2005,36140,40743,34101,6642,257,2457,5958,7586,3447,3174,5332,4618,1272,1123,2035,1614,1190,680,0,0,0,0,0.8369781312127237,0.16302186878727634
2005,37980,454781,359371,95410,3038,41085,77080,94222,36165,28932,38984,33308,6557,13550,29410,25740,20080,6630,0,0,0,0,0.790206714880349,0.209793285119651
2005,45940,118887,88365,30522,1007,8706,20321,21495,9498,7613,10234,6440,3051,3170,10737,7011,6338,3266,0,0,0,0,0.7432688182896364,0.25673118171036363
2005,47220,46029,34344,11685,776,4071,6423,8410,3555,2909,4186,3237,777,1981,3381,3641,1916,766,0,0,0,0,0.7461383041126246,0.25386169588737534
2006,0,43193,33571,9622,692,2648,5464,6617,2483,3428,5683,4651,1905,1290,3945,2476,1535,376,0,0,0,0,0.7772324219202186,0.22276757807978145
2006,10900,39388,30818,8570,81,2724,7774,7915,3298,2195,3645,2335,851,149,2581,2324,2810,706,0,0,0,0,0.7824210419417081,0.21757895805829186
2006,12100,97184,70698,26486,276,7362,14273,17375,7436,6480,9335,6296,1865,2105,8260,7715,6206,2200,0,0,0,0,0.7274654264076391,0.2725345735923609
2006,35620,2123389,1493487,629902,6535,127022,328023,376856,165008,131353,180378,132778,45534,44244,185550,201073,143970,55065,0,0,0,0,0.7033506342926331,0.29664936570736683
2006,36140,43193,33571,9622,692,2648,5464,6617,2483,3428,5683,4651,1905,1290,3945,2476,1535,376,0,0,0,0,0.7772324219202186,0.22276757807978145
2006,37980,449989,361136,88853,3641,40344,79889,92211,38064,30878,41146,27520,7443,9355,30147,23641,19330,6380,0,0,0,0,0.8025440621881869,0.19745593781181317
2006,45940,118171,87262,30909,397,7265,20709,21275,9412,8240,9334,8167,2463,2898,11521,7247,6582,2661,0,0,0,0,0.7384383647426187,0.26156163525738124
2006,47220,46559,33336,13223,194,4996,6808,7332,3688,2415,4009,2967,927,1453,4060,4192,2263,1255,0,0,0,0,0.7159947593376147,0.28400524066238536
2007,0,44395,33841,10554,984,2504,5574,6627,3154,3743,5289,4926,1040,1768,4223,2102,1892,569,0,0,0,0,0.7622705259601307,0.23772947403986935
