county_clean,county_fips_full,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus
Atlantic,34001,2005,94472,68970,25502,0.7300575831992548,0.2699424168007452,980,7452,14735,16400,6754,5659,7839,7595,1556,3410,6992,7108,6368,1624,0,0,0,0
Bergen,34003,2005,308799,225175,83624,0.7291960142357974,0.2708039857642026,763,13773,50079,54557,24781,20251,28909,24520,7542,4393,25468,25357,20069,8337,0,0,0,0
Burlington,34005,2005,157638,129201,28437,0.8196056788337838,0.18039432116621626,1360,14486,28484,34191,11863,10931,14120,11495,2271,3498,9908,6761,5952,2318,0,0,0,0
Camden,34007,2005,178294,130576,47718,0.7323633997778949,0.26763660022210506,1141,14690,26698,33575,14054,10884,14414,12701,2419,6026,14571,13478,10447,3196,0,0,0,0
Cape May,34009,2005,40743,34101,6642,0.8369781312127237,0.16302186878727634,257,2457,5958,7586,3447,3174,5332,4618,1272,1123,2035,1614,1190,680,0,0,0,0
Cumberland,34011,2005,46029,34344,11685,0.7461383041126246,0.25386169588737534,776,4071,6423,8410,3555,2909,4186,3237,777,1981,3381,3641,1916,766,0,0,0,0
Essex,34013,2005,250286,132585,117701,0.5297339843219357,0.4702660156780643,971,11017,28395,34421,14952,11532,15752,12012,3533,10645,34507,33053,28589,10907,0,0,0,0
Gloucester,34015,2005,95668,80615,15053,0.8426537609231927,0.15734623907680728,273,9772,18644,21321,7993,5821,8381,6971,1439,3407,3789,4038,2848,971,0,0,0,0
Hudson,34017,2005,196913,75231,121682,0.3820519721907644,0.6179480278092355,799,9897,14650,18842,7464,6349,7960,7236,2034,8879,38024,38919,26326,9534,0,0,0,0
Hunterdon,34019,2005,44718,40419,4299,0.9038642157520461,0.09613578424795384,78,3369,9341,12062,4757,3948,3855,2390,619,388,1299,900,1078,634,0,0,0,0
Mercer,34021,2005,118887,88365,30522,0.7432688182896364,0.25673118171036363,1007,8706,20321,21495,9498,7613,10234,6440,3051,3170,10737,7011,6338,3266,0,0,0,0
Middlesex,34023,2005,253677,181911,71766,0.7170969382324768,0.2829030617675233,1120,17589,42087,44836,19302,16458,19114,16671,4734,7032,23811,22051,15564,3308,0,0,0,0
Monmouth,34025,2005,217262,176093,41169,0.8105098912833353,0.18949010871666466,1972,13238,41245,47742,18974,15354,20124,13258,4186,3325,13644,11247,8835,4118,0,0,0,0
Morris,34027,2005,163413,132422,30991,0.8103516856064084,0.1896483143935917,270,11885,31996,33834,14708,13473,14373,9372,2511,2483,9406,9147,7130,2825,0,0,0,0
Ocean,34029,2005,214756,181891,32865,0.846965858928272,0.1530341410717279,1207,17618,30297,34334,13365,15558,28981,32023,8508,4362,10506,9134,7054,1809,0,0,0,0
Passaic,34031,2005,147251,92153,55098,0.625822575058913,0.37417742494108697,694,8896,19101,21795,9521,8550,10855,9543,3198,4719,12880,16129,15360,6010,0,0,0,0
Salem,34033,2005,23181,18979,4202,0.8187308571675078,0.18126914283249213,264,2137,3254,5135,2255,1296,2069,2141,428,619,1142,1463,833,145,0,0,0,0
Somerset,34035,2005,109658,93736,15922,0.8548031151397982,0.1451968848602017,702,9291,25892,23770,8881,8494,8167,6574,1965,1292,5451,5500,2773,906,0,0,0,0
Sussex,34037,2005,53508,46764,6744,0.8739627719219556,0.1260372280780444,183,5222,11648,12927,5176,4102,4348,2390,768,426,1152,2284,2482,400,0,0,0,0
Union,34039,2005,168403,119114,49289,0.7073151903469653,0.29268480965303467,772,10248,27283,28143,13644,9859,13795,11379,3991,3922,14224,15382,10741,5020,0,0,0,0
Warren,34041,2005,40400,31427,8973,0.7778960396039604,0.2221039603960396,153,3577,7083,8140,2918,3175,2700,2586,1095,181,2418,2849,2477,1048,0,0,0,0
Atlantic,34001,2006,97184,70698,26486,0.7274654264076391,0.2725345735923609,276,7362,14273,17375,7436,6480,9335,6296,1865,2105,8260,7715,6206,2200,0,0,0,0
Bergen,34003,2006,309227,226828,82399,0.7335323241502197,0.26646767584978026,669,14659,49281,55851,24861,22206,29594,21897,7810,4435,21916,27255,21128,7665,0,0,0,0
Burlington,34005,2006,156654,128053,28601,0.8174256642026376,0.18257433579736235,871,14549,27282,31939,12861,12272,15312,10603,2364,2834,8600,9734,5247,2186,0,0,0,0
Camden,34007,2006,175590,134155,41435,0.7640241471610001,0.23597585283899994,1686,14284,30381,33856,15493,10694,14354,10318,3089,3937,14199,9955,10467,2877,0,0,0,0
Cape May,34009,2006,43193,33571,9622,0.7772324219202186,0.22276757807978145,692,2648,5464,6617,2483,3428,5683,4651,1905,1290,3945,2476,1535,376,0,0,0,0
Cumberland,34011,2006,46559,33336,13223,0.7159947593376147,0.28400524066238536,194,4996,6808,7332,3688,2415,4009,2967,927,1453,4060,4192,2263,1255,0,0,0,0
Essex,34013,2006,246704,133992,112712,0.5431286075620987,0.4568713924379013,556,11569,28632,33248,16123,11419,16777,11422,4246,7833,32310,34707,26660,11202,0,0,0,0
Gloucester,34015,2006,94736,81394,13342,0.8591665259246749,0.14083347407532512,833,10366,18459,21731,8183,6221,8926,5346,1329,1740,5192,3069,2271,1070,0,0,0,0
Hudson,34017,2006,194778,76700,118078,0.3937816385834129,0.6062183614165871,377,10476,17628,18193,6912,6307,8798,5627,2382,7172,35989,38880,24782,11255,0,0,0,0
Hunterdon,34019,2006,44165,39999,4166,0.9056719121476282,0.09432808785237179,41,2751,8956,12296,4884,4241,4045,2139,646,290,983,1578,963,352,0,0,0,0
Mercer,34021,2006,118171,87262,30909,0.7384383647426187,0.26156163525738124,397,7265,20709,21275,9412,8240,9334,8167,2463,2898,11521,7247,6582,2661,0,0,0,0
Middlesex,34023,2006,255663,181635,74028,0.7104469555625961,0.28955304443740393,546,16415,41447,46134,20536,14747,21521,15820,4469,4865,24050,23890,15156,6067,0,0,0,0
Monmouth,34025,2006,215538,177418,38120,0.8231402351325521,0.17685976486744798,1056,14227,38986,47436,22598,15395,20989,12949,3782,4354,10783,9844,9907,3232,0,0,0,0
Morris,34027,2006,166070,133762,32308,0.805455530800265,0.19454446919973506,322,11307,31577,36117,15254,12525,14873,9301,2486,2315,9156,10498,7589,2750,0,0,0,0
Ocean,34029,2006,213481,183953,29528,0.8616832411315293,0.13831675886847072,1191,17262,33477,34327,13831,15431,27038,30304,11092,2793,10777,8833,5434,1691,0,0,0,0
Passaic,34031,2006,146290,87811,58479,0.6002529222776677,0.39974707772233237,314,6692,19913,22679,10355,8168,11221,6246,2223,4858,16571,17940,13222,5888,0,0,0,0
