Year,CBSA,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,fmr_percentile
2005,0,669.0,702.0,845.0,1101.0,1173.0,40.0
2005,10900,735.0,891.0,1020.0,1242.0,1403.0,50.0
2005,12100,669.0,702.0,845.0,1101.0,1173.0,40.0
2005,35620,843.1666666666666,942.1666666666666,1099.0,1372.0833333333333,1572.3333333333333,45.0
2005,36140,669.0,702.0,845.0,1101.0,1173.0,40.0
2005,37980,663.0,761.0,914.0,1095.0,1328.0,50.0
2005,45940,706.0,813.0,977.0,1168.0,1310.0,40.0
2005,47220,644.0,646.0,814.0,989.0,1042.0,40.0
2006,0,623.0,636.0,800.0,1048.0,1079.0,40.0
2006,10900,763.0,854.0,999.0,1196.0,1231.0,40.0
2006,12100,704.0,775.0,925.0,1173.0,1315.0,40.0
2006,35620,859.0833333333334,953.4166666666666,1094.0833333333333,1343.5833333333333,1520.25,40.0
2006,36140,623.0,636.0,800.0,1048.0,1079.0,40.0
2006,37980,649.0,742.0,886.0,1061.0,1262.0,40.0
2006,45940,739.0,850.0,1022.0,1221.0,1371.0,40.0
2006,47220,674.0,676.0,852.0,1035.0,1091.0,40.0
2007,0,650.0,663.0,834.0,1093.0,1125.0,40.0
2007,10900,802.0,898.0,1050.0,1257.0,1294.0,40.0
2007,12100,734.0,808.0,964.0,1222.0,1371.0,40.0
2007,35620,882.25,991.9166666666666,1153.5833333333333,1428.5833333333333,1610.8333333333333,40.0
2007,36140,650.0,663.0,834.0,1093.0,1125.0,40.0
2007,37980,676.0,773.0,923.0,1105.0,1314.0,40.0
2007,45940,784.0,902.0,1084.0,1295.0,1454.0,40.0
2007,47220,703.0,706.0,889.0,1080.0,1138.0,40.0
2008,0,697.0,712.0,895.0,1172.0,1207.0,40.0
2008,10900,769.0,861.0,1007.0,1205.0,1241.0,40.0
2008,12100,786.0,866.0,1033.0,1310.0,1469.0,40.0
2008,35620,933.3333333333334,1049.0833333333333,1219.8333333333333,1511.0833333333333,1704.5833333333333,40.0
2008,36140,697.0,712.0,895.0,1172.0,1207.0,40.0
2008,37980,682.0,781.0,932.0,1116.0,1327.0,40.0
2008,45940,810.0,932.0,1120.0,1338.0,1502.0,40.0
2008,47220,756.0,759.0,956.0,1162.0,1224.0,40.0
2009,0,719.0,734.0,923.0,1209.0,1245.0,40.0
2009,10900,790.0,884.0,1034.0,1238.0,1274.0,40.0
2009,12100,813.0,895.0,1068.0,1354.0,1519.0,40.0
2009,35620,963.5833333333334,1085.5,1261.8333333333333,1561.8333333333333,1760.8333333333333,40.0
2009,36140,719.0,734.0,923.0,1209.0,1245.0,40.0
2009,37980,736.0,842.0,1005.0,1203.0,1431.0,40.0
2009,45940,833.0,958.0,1152.0,1377.0,1545.0,40.0
2009,47220,779.0,782.0,985.0,1197.0,1261.0,40.0
2010,0,741.0,756.0,951.0,1246.0,1283.0,40.0
2010,10900,796.0,891.0,1042.0,1247.0,1284.0,40.0
2010,12100,838.0,923.0,1101.0,1396.0,1566.0,40.0
2010,35620,1010.3333333333334,1138.6666666666667,1322.5,1636.0833333333333,1845.3333333333333,40.0
2010,36140,741.0,756.0,951.0,1246.0,1283.0,40.0
2010,37980,803.0,915.0,1095.0,1339.0,1615.0,50.0
2010,45940,873.0,1005.0,1208.0,1444.0,1620.0,40.0
2010,47220,802.0,805.0,1014.0,1232.0,1298.0,40.0
2011,0,739.0,754.0,949.0,1243.0,1280.0,40.0
2011,10900,794.0,888.0,1039.0,1244.0,1280.0,40.0
