Year,CBSA,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
2005,0,21.99,951.1,285.33,208.02
2005,10900,13.55,700.59,185.64,163.87
2005,12100,20.81,771.58,220.46,188.59
2005,35620,16.3075,868.4358333333333,215.02916666666667,176.18166666666664
2005,36140,21.99,951.1,285.33,208.02
2005,37980,15.842500000000001,576.86,180.31,165.28
2005,45940,15.64,819.76,190.3,172.05
2005,47220,18.35,536.04,178.29,158.19
2006,0,10.88,1054.61,316.38,230.66
2006,10900,8.75,761.92,201.89,178.21
2006,12100,12.56,868.49,248.15,212.27
2006,35620,8.5175,942.63,233.37666666666667,191.33916666666667
2006,36140,10.88,1054.61,316.38,230.66
2006,37980,9.9275,633.7175,198.175,181.66
2006,45940,7.74,883.19,205.03,185.36
2006,47220,14.74,615.03,204.56,181.5
2007,0,-2.96,1023.37,307.01,223.82
2007,10900,-2.13,745.66,197.58,174.41
2007,12100,-0.67,862.63,246.48,210.84
2007,35620,-0.5608333333333333,937.7291666666666,232.07416666666666,190.32500000000002
2007,36140,-2.96,1023.37,307.01,223.82
2007,37980,2.145,645.8225,202.3075,185.4275
2007,45940,-1.26,872.03,202.44,183.01
2007,47220,3.52,636.71,211.77,187.89
2008,0,-4.09,981.55,294.47,214.68
2008,10900,-5.3,706.16,187.12,165.17
2008,12100,-5.51,815.09,232.89,199.22
2008,35620,-4.766666666666667,893.3583333333332,221.04666666666665,181.25166666666667
2008,36140,-4.09,981.55,294.47,214.68
2008,37980,-3.585,622.37,195.04500000000002,178.7625
2008,45940,-4.53,832.51,193.26,174.72
2008,47220,-4.77,606.34,201.67,178.93
2009,0,-6.85,914.36,274.31,199.98
2009,10900,-9.31,640.4,169.69,149.79
2009,12100,-10.26,731.47,209.0,178.79
2009,35620,-8.7775,814.3841666666667,201.58666666666667,165.13833333333332
2009,36140,-6.85,914.36,274.31,199.98
2009,37980,-7.8100000000000005,573.6575,179.8075,164.8025
2009,45940,-8.23,764.02,177.36,160.35
2009,47220,-8.19,556.71,185.16,164.28
2010,0,-4.9,869.52,260.86,190.17
2010,10900,-6.27,600.26,159.06,140.4
2010,12100,-5.57,690.72,197.36,168.82
2010,35620,-3.9408333333333334,782.3583333333332,193.6725,158.57500000000002
2010,36140,-4.9,869.52,260.86,190.17
2010,37980,-4.922499999999999,545.8325,170.97,156.72
2010,45940,-2.67,743.62,172.63,156.06
2010,47220,-4.52,531.55,176.79,156.86
2011,0,-4.29,832.21,249.66,182.01
2011,10900,-6.06,563.92,149.43,131.9
2011,12100,-5.32,653.95,186.85,159.84
2011,35620,-4.023333333333333,751.125,185.91416666666666,152.18833333333333
2011,36140,-4.29,832.21,249.66,182.01
2011,37980,-5.37,516.095,161.765,148.26999999999998
2011,45940,-4.41,710.82,165.01,149.18
2011,47220,-4.99,505.02,167.97,149.03
2012,0,-2.01,815.5,244.65,178.36
2012,10900,-7.51,521.58,138.21,122.0
2012,12100,-5.71,616.62,176.18,150.71
