cbsa_code,cbsa_name,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group,owner_units_cps,renter_units_cps,total_units_cps,avg_hh_income_cps,avg_person_income_cps,avg_hh_size_cps,avg_age_cps,avg_education_cps,married_share_cps,cps_records,owner_rate_cps,renter_rate_cps,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,15-34,3730.0,2599.0,6329.0,0.15665841584158416,0.5893506083109495,0.4106493916890504,,,,,,,,,,,,,735.0,891.0,1020.0,1242.0,1403.0,13.55,700.59
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,35-44,7083.0,2849.0,9932.0,0.24584158415841584,0.7131494160289972,0.2868505839710028,912618.0,0.0,912618.0,122281.58546949545,53697.38430318052,2.6184581062394123,39.38154189376059,43.07231284064088,1.0,4.0,1.0,0.0,735.0,891.0,1020.0,1242.0,1403.0,13.55,700.59
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,45-54,8140.0,2477.0,10617.0,0.2627970297029703,0.7666949232363192,0.2333050767636809,352858.0,308510.0,661368.0,57814.22473418732,52419.728420486026,3.5335274763822864,49.60058242914686,40.60058242914686,1.0,4.0,0.5335274763822864,0.4664725236177136,735.0,891.0,1020.0,1242.0,1403.0,13.55,700.59
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,55-64,6093.0,1048.0,7141.0,0.17675742574257425,0.8532418428791486,0.1467581571208514,658866.0,0.0,658866.0,149300.0,63300.0,2.0,60.0,43.0,1.0,2.0,1.0,0.0,735.0,891.0,1020.0,1242.0,1403.0,13.55,700.59
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,65-74,2700.0,0.0,2700.0,0.06683168316831684,1.0,0.0,1195264.0,0.0,1195264.0,138972.66948556973,91281.15072151425,2.0,67.68769075283787,37.22522890340544,1.0,4.0,1.0,0.0,735.0,891.0,1020.0,1242.0,1403.0,13.55,700.59
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,75+,3681.0,0.0,3681.0,0.09111386138613861,1.0,0.0,642500.0,0.0,642500.0,56890.0,43847.0,2.0,76.0,43.0,1.0,2.0,1.0,0.0,735.0,891.0,1020.0,1242.0,1403.0,13.55,700.59
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,15-34,2805.0,2730.0,5535.0,0.14052503300497612,0.5067750677506775,0.4932249322493225,,,,,,,,,,,,,763.0,854.0,999.0,1196.0,1231.0,8.75,761.92
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,35-44,7774.0,2324.0,10098.0,0.2563724992383467,0.7698554169142404,0.23014458308575955,1324436.0,0.0,1324436.0,131112.5600331009,38643.972589086974,2.8436315533555416,39.54280010510134,42.608560927066314,1.0,6.0,1.0,0.0,763.0,854.0,999.0,1196.0,1231.0,8.75,761.92
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,45-54,7915.0,2810.0,10725.0,0.27229105311262314,0.737995337995338,0.262004662004662,1512588.0,0.0,1512588.0,94588.81406966074,55209.30241414053,4.217490817063205,48.90548913517759,40.782739252195576,1.0,10.0,1.0,0.0,763.0,854.0,999.0,1196.0,1231.0,8.75,761.92
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,55-64,5493.0,706.0,6199.0,0.15738295927693713,0.886110663010163,0.11388933698983707,,,,,,,,,,,,,763.0,854.0,999.0,1196.0,1231.0,8.75,761.92
