county_fips,county,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
34001,Atlantic,2005,101584,68970,32614,0.6789455032288549,0.321054496771145,669,702,845,1101,1173,20.81,771.58
34003,Bergen,2005,332223,225175,107048,0.6777826941542278,0.3222173058457723,906,990,1132,1428,1729,16.34,952.01
34005,Burlington,2005,164046,129201,34845,0.7875900662009436,0.2124099337990563,663,761,914,1095,1328,16.17,691.44
34007,Camden,2005,190659,130576,60083,0.6848666991854567,0.3151333008145432,663,761,914,1095,1328,16.04,545.32
34009,Cape May,2005,43616,34101,9515,0.7818461115187088,0.2181538884812912,669,702,845,1101,1173,21.99,951.1
34011,Cumberland,2005,49914,34344,15570,0.6880634691669671,0.3119365308330328,644,646,814,989,1042,18.35,536.04
34013,Essex,2005,283841,132585,151256,0.4671101074192946,0.5328898925807054,735,891,1020,1242,1403,17.2,942.08
34015,Gloucester,2005,98334,80615,17719,0.8198080013016861,0.1801919986983139,663,761,914,1095,1328,15.72,608.31
34017,Hudson,2005,229240,75231,154009,0.3281757110451928,0.6718242889548072,892,943,1100,1333,1435,19.73,908.8
34019,Hunterdon,2005,46141,40419,5722,0.875988816887367,0.124011183112633,992,1029,1210,1518,1791,14.16,837.64
34021,Mercer,2005,127125,88365,38760,0.6951032448377581,0.3048967551622419,706,813,977,1168,1310,15.64,819.76
34023,Middlesex,2005,267854,181911,85943,0.6791423686037916,0.3208576313962084,992,1029,1210,1518,1791,16.66,702.12
34025,Monmouth,2005,230896,176093,54803,0.7626507172060148,0.2373492827939851,749,866,1057,1377,1495,16.56,909.78
34027,Morris,2005,172614,132422,40192,0.7671567775499091,0.2328432224500909,735,891,1020,1242,1403,15.91,977.66
34029,Ocean,2005,221085,181891,39194,0.822719768414863,0.1772802315851369,749,866,1057,1377,1495,17.45,837.43
34031,Passaic,2005,163567,92153,71414,0.5633960395434287,0.4366039604565713,906,990,1132,1428,1729,14.29,864.01
34033,Salem,2005,24741,18979,5762,0.767107230912251,0.232892769087749,663,761,914,1095,1328,15.44,462.37
34035,Somerset,2005,113561,93736,19825,0.825424221343595,0.1745757786564049,992,1029,1210,1518,1791,16.46,802.8
34037,Sussex,2005,55173,46764,8409,0.8475884943722473,0.1524115056277527,735,891,1020,1242,1403,14.53,794.92
34039,Union,2005,182478,119114,63364,0.6527581407073729,0.3472418592926271,735,891,1020,1242,1403,16.4,891.98
34041,Warren,2005,43264,31427,11837,0.7264007026627219,0.2735992973372781,735,891,1020,1242,1403,13.55,700.59
34001,Atlantic,2006,103504,70698,32806,0.6830460658525275,0.3169539341474726,704,775,925,1173,1315,12.56,868.49
34003,Bergen,2006,333469,226828,106641,0.6802071556876351,0.3197928443123649,875,979,1098,1356,1561,8.07,1028.82
34005,Burlington,2006,163226,128053,35173,0.7845134966243124,0.2154865033756877,649,742,886,1061,1262,9.03,753.88
34007,Camden,2006,189498,134155,55343,0.70794942426833,0.29205057573167,649,742,886,1061,1262,10.25,601.22
34009,Cape May,2006,45715,33571,12144,0.7343541507163951,0.2656458492836049,623,636,800,1048,1079,10.88,1054.61
34011,Cumberland,2006,50047,33336,16711,0.6660938717605451,0.3339061282394549,674,676,852,1035,1091,14.74,615.03
34013,Essex,2006,278863,133992,144871,0.4804940060172916,0.5195059939827084,719,879,1004,1202,1329,8.77,1024.7
34015,Gloucester,2006,99275,81394,17881,0.8198841601611685,0.1801158398388315,649,742,886,1061,1262,10.02,669.24
34017,Hudson,2006,223451,76700,146751,0.3432519881316261,0.6567480118683738,884,934,1090,1321,1422,14.53,1040.86
34019,Hunterdon,2006,45428,39999,5429,0.8804922074491504,0.1195077925508497,973,1009,1187,1490,1757,6.37,891.01
34021,Mercer,2006,127216,87262,39954,0.6859357313545466,0.3140642686454534,739,850,1022,1221,1371,7.74,883.19
34023,Middlesex,2006,270292,181635,88657,0.6719954715640862,0.3280045284359137,973,1009,1187,1490,1757,8.63,762.73
34025,Monmouth,2006,229938,177418,52520,0.7715906026842019,0.2284093973157981,940,1003,1133,1406,1556,7.61,979.04
34027,Morris,2006,174256,133762,40494,0.7676177577816545,0.2323822422183454,719,879,1004,1202,1329,7.05,1046.58
34029,Ocean,2006,221630,183953,37677,0.8300004512024546,0.1699995487975454,940,1003,1133,1406,1556,8.6,909.48
34031,Passaic,2006,159398,87811,71587,0.5508914791904541,0.4491085208095459,875,979,1098,1356,1561,8.46,937.13
34033,Salem,2006,24621,17534,7087,0.7121562893464928,0.2878437106535071,649,742,886,1061,1262,10.41,510.53
34035,Somerset,2006,114164,90441,23723,0.7922024456045689,0.2077975543954311,973,1009,1187,1490,1757,7.21,860.68
34037,Sussex,2006,54811,46096,8715,0.8409990695298389,0.1590009304701611,719,879,1004,1202,1329,7.46,854.24
34039,Union,2006,185201,114852,70349,0.6201478393745175,0.3798521606254826,719,879,1004,1202,1329,9.45,976.29
34041,Warren,2006,41487,30818,10669,0.742835104972642,0.2571648950273579,763,854,999,1196,1231,8.75,761.92
34001,Atlantic,2007,103197,72038,31159,0.6980629281858969,0.3019370718141031,734,808,964,1222,1371,-0.67,862.63
34003,Bergen,2007,331529,229885,101644,0.6934084197762488,0.3065915802237511,927,1037,1163,1436,1654,-0.58,1022.83
34005,Burlington,2007,166164,128970,37194,0.7761609012782552,0.2238390987217448,676,773,923,1105,1314,0.15,754.99
34007,Camden,2007,194073,134491,59582,0.6929918123592669,0.3070081876407331,676,773,923,1105,1314,1.79,611.95
34009,Cape May,2007,46717,33841,12876,0.7243829869212493,0.2756170130787507,650,663,834,1093,1125,-2.96,1023.37
34011,Cumberland,2007,50885,35370,15515,0.6950967868723592,0.3049032131276407,703,706,889,1080,1138,3.52,636.71
34013,Essex,2007,274095,131375,142720,0.4793046206607198,0.5206953793392802,761,930,1063,1272,1407,1.11,1036.06
34015,Gloucester,2007,100042,80363,19679,0.8032926171008177,0.1967073828991823,676,773,923,1105,1314,1.71,680.66
34017,Hudson,2007,228826,80109,148717,0.3500869656420162,0.6499130343579838,936,989,1154,1399,1506,1.42,1055.65
34019,Hunterdon,2007,47446,41622,5824,0.8772499262319268,0.1227500737680731,1031,1068,1257,1578,1860,-1.63,876.45
34021,Mercer,2007,128026,89546,38480,0.6994360520519269,0.300563947948073,784,902,1084,1295,1454,-1.26,872.03
34023,Middlesex,2007,271942,182242,89700,0.6701502526273985,0.3298497473726015,1031,1068,1257,1578,1860,-1.03,754.85
34025,Monmouth,2007,232730,174955,57775,0.7517509560434839,0.2482490439565161,830,958,1170,1525,1654,-1.47,964.61
34027,Morris,2007,175099,133747,41352,0.7638364582322,0.2361635417677999,761,930,1063,1272,1407,-1.17,1034.35
34029,Ocean,2007,222473,184003,38470,0.8270801400619401,0.1729198599380599,830,958,1170,1525,1654,-1.74,893.66
34031,Passaic,2007,158192,88013,70179,0.5563682107818347,0.4436317892181652,927,1037,1163,1436,1654,-0.49,932.52
34033,Salem,2007,25525,19888,5637,0.7791576885406464,0.2208423114593535,676,773,923,1105,1314,4.93,535.69
34035,Somerset,2007,112733,90834,21899,0.8057445468496358,0.1942554531503641,1031,1068,1257,1578,1860,-2.15,842.19
34037,Sussex,2007,54524,46162,8362,0.8466363436284938,0.1533636563715061,761,930,1063,1272,1407,0.58,859.19
34039,Union,2007,182933,109362,73571,0.5978254333553815,0.4021745666446185,761,930,1063,1272,1407,0.42,980.39
34041,Warren,2007,42759,32182,10577,0.752636871769686,0.2473631282303141,802,898,1050,1257,1294,-2.13,745.66
34001,Atlantic,2008,101076,73110,27966,0.7233171079187938,0.2766828920812062,786,866,1033,1310,1469,-5.51,815.09
34003,Bergen,2008,331701,225394,106307,0.6795095583070295,0.3204904416929705,1001,1120,1256,1551,1786,-3.86,983.31
34005,Burlington,2008,165184,130118,35066,0.7877155172413793,0.2122844827586207,682,781,932,1116,1327,-4.2,723.31
