county_name,total_occupied_units,owner_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_total,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,state_fips,county_fips,year,county_clean,county_fips_full,owner_rate,renter_rate
"Atlantic County, New Jersey",101584,68970,980,7452,14735,16400,6754,5659,7839,7595,1556,32614,3410,6992,7108,6368,1624,34,001,2005,Atlantic,34001,0.6789455032288549,0.32105449677114506
"Bergen County, New Jersey",332223,225175,763,13773,50079,54557,24781,20251,28909,24520,7542,107048,4393,25468,25357,20069,8337,34,003,2005,Bergen,34003,0.6777826941542278,0.3222173058457723
"Burlington County, New Jersey",164046,129201,1360,14486,28484,34191,11863,10931,14120,11495,2271,34845,3498,9908,6761,5952,2318,34,005,2005,Burlington,34005,0.7875900662009436,0.21240993379905637
"Camden County, New Jersey",190659,130576,1141,14690,26698,33575,14054,10884,14414,12701,2419,60083,6026,14571,13478,10447,3196,34,007,2005,Camden,34007,0.6848666991854567,0.3151333008145432
"Cape May County, New Jersey",43616,34101,257,2457,5958,7586,3447,3174,5332,4618,1272,9515,1123,2035,1614,1190,680,34,009,2005,Cape May,34009,0.7818461115187088,0.21815388848129127
"Cumberland County, New Jersey",49914,34344,776,4071,6423,8410,3555,2909,4186,3237,777,15570,1981,3381,3641,1916,766,34,011,2005,Cumberland,34011,0.6880634691669671,0.3119365308330328
"Essex County, New Jersey",283841,132585,971,11017,28395,34421,14952,11532,15752,12012,3533,151256,10645,34507,33053,28589,10907,34,013,2005,Essex,34013,0.4671101074192946,0.5328898925807054
"Gloucester County, New Jersey",98334,80615,273,9772,18644,21321,7993,5821,8381,6971,1439,17719,3407,3789,4038,2848,971,34,015,2005,Gloucester,34015,0.8198080013016861,0.1801919986983139
"Hudson County, New Jersey",229240,75231,799,9897,14650,18842,7464,6349,7960,7236,2034,154009,8879,38024,38919,26326,9534,34,017,2005,Hudson,34017,0.32817571104519283,0.6718242889548072
"Hunterdon County, New Jersey",46141,40419,78,3369,9341,12062,4757,3948,3855,2390,619,5722,388,1299,900,1078,634,34,019,2005,Hunterdon,34019,0.875988816887367,0.12401118311263301
"Mercer County, New Jersey",127125,88365,1007,8706,20321,21495,9498,7613,10234,6440,3051,38760,3170,10737,7011,6338,3266,34,021,2005,Mercer,34021,0.6951032448377581,0.3048967551622419
"Middlesex County, New Jersey",267854,181911,1120,17589,42087,44836,19302,16458,19114,16671,4734,85943,7032,23811,22051,15564,3308,34,023,2005,Middlesex,34023,0.6791423686037916,0.3208576313962084
"Monmouth County, New Jersey",230896,176093,1972,13238,41245,47742,18974,15354,20124,13258,4186,54803,3325,13644,11247,8835,4118,34,025,2005,Monmouth,34025,0.7626507172060148,0.23734928279398518
"Morris County, New Jersey",172614,132422,270,11885,31996,33834,14708,13473,14373,9372,2511,40192,2483,9406,9147,7130,2825,34,027,2005,Morris,34027,0.7671567775499091,0.23284322245009095
"Ocean County, New Jersey",221085,181891,1207,17618,30297,34334,13365,15558,28981,32023,8508,39194,4362,10506,9134,7054,1809,34,029,2005,Ocean,34029,0.822719768414863,0.17728023158513695
"Passaic County, New Jersey",163567,92153,694,8896,19101,21795,9521,8550,10855,9543,3198,71414,4719,12880,16129,15360,6010,34,031,2005,Passaic,34031,0.5633960395434287,0.4366039604565713
"Salem County, New Jersey",24741,18979,264,2137,3254,5135,2255,1296,2069,2141,428,5762,619,1142,1463,833,145,34,033,2005,Salem,34033,0.767107230912251,0.23289276908774909
"Somerset County, New Jersey",113561,93736,702,9291,25892,23770,8881,8494,8167,6574,1965,19825,1292,5451,5500,2773,906,34,035,2005,Somerset,34035,0.825424221343595,0.17457577865640492
"Sussex County, New Jersey",55173,46764,183,5222,11648,12927,5176,4102,4348,2390,768,8409,426,1152,2284,2482,400,34,037,2005,Sussex,34037,0.8475884943722473,0.1524115056277527
"Union County, New Jersey",182478,119114,772,10248,27283,28143,13644,9859,13795,11379,3991,63364,3922,14224,15382,10741,5020,34,039,2005,Union,34039,0.6527581407073729,0.3472418592926271
"Warren County, New Jersey",43264,31427,153,3577,7083,8140,2918,3175,2700,2586,1095,11837,181,2418,2849,2477,1048,34,041,2005,Warren,34041,0.7264007026627219,0.2735992973372781
"Atlantic County, New Jersey",103504,70698,276,7362,14273,17375,7436,6480,9335,6296,1865,32806,2105,8260,7715,6206,2200,34,001,2006,Atlantic,34001,0.6830460658525275,0.3169539341474726
"Bergen County, New Jersey",333469,226828,669,14659,49281,55851,24861,22206,29594,21897,7810,106641,4435,21916,27255,21128,7665,34,003,2006,Bergen,34003,0.6802071556876351,0.3197928443123649
"Cumberland County, New Jersey",50047,33336,194,4996,6808,7332,3688,2415,4009,2967,927,16711,1453,4060,4192,2263,1255,34,011,2006,Cumberland,34011,0.6660938717605451,0.3339061282394549
"Burlington County, New Jersey",163226,128053,871,14549,27282,31939,12861,12272,15312,10603,2364,35173,2834,8600,9734,5247,2186,34,005,2006,Burlington,34005,0.7845134966243124,0.2154865033756877
"Camden County, New Jersey",189498,134155,1686,14284,30381,33856,15493,10694,14354,10318,3089,55343,3937,14199,9955,10467,2877,34,007,2006,Camden,34007,0.70794942426833,0.29205057573167
