cbsa_code,cbsa_name,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,15-24,153.0,181.0,334.0,0.008267326732673268,0.45808383233532934,0.5419161676646707
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,25-34,3577.0,2418.0,5995.0,0.14839108910891088,0.5966638865721434,0.4033361134278565
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,35-44,7083.0,2849.0,9932.0,0.24584158415841584,0.7131494160289972,0.2868505839710028
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,45-54,8140.0,2477.0,10617.0,0.2627970297029703,0.7666949232363192,0.2333050767636809
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,55-59,2918.0,1048.0,3966.0,0.09816831683168317,0.7357539082198689,0.2642460917801311
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,60-64,3175.0,0.0,3175.0,0.07858910891089109,1.0,0.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,65-74,2700.0,0.0,2700.0,0.06683168316831684,1.0,0.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,75-84,2586.0,0.0,2586.0,0.06400990099009901,1.0,0.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2005,85+,1095.0,0.0,1095.0,0.027103960396039604,1.0,0.0
12100,"Atlantic City-Hammonton, NJ",2005,15-24,980.0,3410.0,4390.0,0.046468794986874416,0.22323462414578588,0.7767653758542141
12100,"Atlantic City-Hammonton, NJ",2005,25-34,7452.0,6992.0,14444.0,0.15289186213904649,0.5159235668789809,0.4840764331210191
12100,"Atlantic City-Hammonton, NJ",2005,35-44,14735.0,7108.0,21843.0,0.23121136421373528,0.6745868241541912,0.3254131758458087
12100,"Atlantic City-Hammonton, NJ",2005,45-54,16400.0,6368.0,22768.0,0.2410026251164366,0.7203092059030218,0.2796907940969782
12100,"Atlantic City-Hammonton, NJ",2005,55-59,6754.0,1624.0,8378.0,0.08868236091116945,0.8061589878252566,0.19384101217474337
12100,"Atlantic City-Hammonton, NJ",2005,60-64,5659.0,0.0,5659.0,0.05990134643068846,1.0,0.0
12100,"Atlantic City-Hammonton, NJ",2005,65-74,7839.0,0.0,7839.0,0.08297696672029808,1.0,0.0
12100,"Atlantic City-Hammonton, NJ",2005,75-84,7595.0,0.0,7595.0,0.0803941908713693,1.0,0.0
12100,"Atlantic City-Hammonton, NJ",2005,85+,1556.0,0.0,1556.0,0.016470488610381914,1.0,0.0
35620,"New York-Newark-Jersey City, NY-NJ-PA",2005,15-24,9531.0,51866.0,61397.0,0.02884324480749247,0.15523559783051288,0.8447644021694871
35620,"New York-Newark-Jersey City, NY-NJ-PA",2005,25-34,132043.0,190372.0,322415.0,0.1514649701875936,0.4095436006389281,0.5904563993610719
35620,"New York-Newark-Jersey City, NY-NJ-PA",2005,35-44,332014.0,189103.0,521117.0,0.24481172051315297,0.6371198790290856,0.3628801209709144
35620,"New York-Newark-Jersey City, NY-NJ-PA",2005,45-54,367263.0,146001.0,513264.0,0.2411225174336338,0.7155440475077153,0.28445595249228467
35620,"New York-Newark-Jersey City, NY-NJ-PA",2005,55-59,155525.0,53808.0,209333.0,0.09834100958168675,0.7429550047054215,0.25704499529457847
35620,"New York-Newark-Jersey City, NY-NJ-PA",2005,60-64,133928.0,0.0,133928.0,0.06291704953951906,1.0,0.0
35620,"New York-Newark-Jersey City, NY-NJ-PA",2005,65-74,176233.0,0.0,176233.0,0.08279120416565663,1.0,0.0
35620,"New York-Newark-Jersey City, NY-NJ-PA",2005,75-84,147368.0,0.0,147368.0,0.06923092823412463,1.0,0.0
35620,"New York-Newark-Jersey City, NY-NJ-PA",2005,85+,43589.0,0.0,43589.0,0.020477355537140075,1.0,0.0
36140,"Ocean City, NJ",2005,15-24,257.0,1123.0,1380.0,0.033870848980192915,0.186231884057971,0.813768115942029
36140,"Ocean City, NJ",2005,25-34,2457.0,2035.0,4492.0,0.11025206783987433,0.5469723953695459,0.45302760463045416
36140,"Ocean City, NJ",2005,35-44,5958.0,1614.0,7572.0,0.1858478757087107,0.7868462757527733,0.21315372424722662
36140,"Ocean City, NJ",2005,45-54,7586.0,1190.0,8776.0,0.21539896423925584,0.8644029170464904,0.13559708295350958
36140,"Ocean City, NJ",2005,55-59,3447.0,680.0,4127.0,0.10129347372554795,0.8352314029561425,0.16476859704385752
36140,"Ocean City, NJ",2005,60-64,3174.0,0.0,3174.0,0.0779029526544437,1.0,0.0
36140,"Ocean City, NJ",2005,65-74,5332.0,0.0,5332.0,0.13086910634955698,1.0,0.0
36140,"Ocean City, NJ",2005,75-84,4618.0,0.0,4618.0,0.11334462361632673,1.0,0.0
36140,"Ocean City, NJ",2005,85+,1272.0,0.0,1272.0,0.03122008688609086,1.0,0.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2005,15-24,3038.0,13550.0,16588.0,0.0364746988110761,0.18314444176513142,0.8168555582348686
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2005,25-34,41085.0,29410.0,70495.0,0.15500867450487157,0.5828072912972552,0.4171927087027449
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2005,35-44,77080.0,25740.0,102820.0,0.22608684179857996,0.7496595992997471,0.2503404007002529
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2005,45-54,94222.0,20080.0,114302.0,0.2513341586389933,0.8243250336827003,0.17567496631729979
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2005,55-59,36165.0,6630.0,42795.0,0.0941002372570534,0.8450753592709429,0.15492464072905712
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2005,60-64,28932.0,0.0,28932.0,0.06361743344598829,1.0,0.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2005,65-74,38984.0,0.0,38984.0,0.08572037969923986,1.0,0.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2005,75-84,33308.0,0.0,33308.0,0.07323964721481328,1.0,0.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2005,85+,6557.0,0.0,6557.0,0.014417928629384253,1.0,0.0
45940,"Trenton-Princeton, NJ",2005,15-24,1007.0,3170.0,4177.0,0.0351342030667777,0.2410821163514484,0.7589178836485516
45940,"Trenton-Princeton, NJ",2005,25-34,8706.0,10737.0,19443.0,0.1635418506649171,0.44777040580157385,0.5522295941984262
45940,"Trenton-Princeton, NJ",2005,35-44,20321.0,7011.0,27332.0,0.22989897970341586,0.7434874871944973,0.2565125128055027
45940,"Trenton-Princeton, NJ",2005,45-54,21495.0,6338.0,27833.0,0.2341130653477672,0.7722846980203356,0.22771530197966441
45940,"Trenton-Princeton, NJ",2005,55-59,9498.0,3266.0,12764.0,0.10736245342215718,0.7441240990285177,0.2558759009714823
45940,"Trenton-Princeton, NJ",2005,60-64,7613.0,0.0,7613.0,0.0640355968272393,1.0,0.0
45940,"Trenton-Princeton, NJ",2005,65-74,10234.0,0.0,10234.0,0.08608174148561239,1.0,0.0
45940,"Trenton-Princeton, NJ",2005,75-84,6440.0,0.0,6440.0,0.05416908492938673,1.0,0.0
45940,"Trenton-Princeton, NJ",2005,85+,3051.0,0.0,3051.0,0.025663024552726538,1.0,0.0
47220,"Vineland-Bridgeton, NJ",2005,15-24,776.0,1981.0,2757.0,0.05989702144300332,0.28146536089952845,0.7185346391004716
47220,"Vineland-Bridgeton, NJ",2005,25-34,4071.0,3381.0,7452.0,0.16189793391122986,0.5462962962962963,0.4537037037037037
47220,"Vineland-Bridgeton, NJ",2005,35-44,6423.0,3641.0,10064.0,0.2186447674292294,0.6382154213036566,0.3617845786963434
47220,"Vineland-Bridgeton, NJ",2005,45-54,8410.0,1916.0,10326.0,0.2243368311282018,0.8144489637807476,0.18555103621925237
47220,"Vineland-Bridgeton, NJ",2005,55-59,3555.0,766.0,4321.0,0.0938756001651133,0.8227262207822263,0.17727377921777365
47220,"Vineland-Bridgeton, NJ",2005,60-64,2909.0,0.0,2909.0,0.06319928740576593,1.0,0.0
47220,"Vineland-Bridgeton, NJ",2005,65-74,4186.0,0.0,4186.0,0.09094266657976494,1.0,0.0
47220,"Vineland-Bridgeton, NJ",2005,75-84,3237.0,0.0,3237.0,0.07032522974646419,1.0,0.0
47220,"Vineland-Bridgeton, NJ",2005,85+,777.0,0.0,777.0,0.01688066219122727,1.0,0.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,15-24,81.0,149.0,230.0,0.005839341931552757,0.3521739130434783,0.6478260869565218
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,25-34,2724.0,2581.0,5305.0,0.13468569107342337,0.5134778510838831,0.4865221489161169
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,35-44,7774.0,2324.0,10098.0,0.2563724992383467,0.7698554169142404,0.23014458308575955
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,45-54,7915.0,2810.0,10725.0,0.27229105311262314,0.737995337995338,0.262004662004662
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,55-59,3298.0,706.0,4004.0,0.1016553264953793,0.8236763236763237,0.17632367632367632
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,60-64,2195.0,0.0,2195.0,0.05572763278155783,1.0,0.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,65-74,3645.0,0.0,3645.0,0.09254087539352086,1.0,0.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,75-84,2335.0,0.0,2335.0,0.05928201482685082,1.0,0.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",2006,85+,851.0,0.0,851.0,0.021605565146745203,1.0,0.0
12100,"Atlantic City-Hammonton, NJ",2006,15-24,276.0,2105.0,2381.0,0.02449991768192295,0.11591768164636708,0.8840823183536329
12100,"Atlantic City-Hammonton, NJ",2006,25-34,7362.0,8260.0,15622.0,0.16074662495884096,0.47125848162847267,0.5287415183715274
12100,"Atlantic City-Hammonton, NJ",2006,35-44,14273.0,7715.0,21988.0,0.22625123477115575,0.6491267964344187,0.3508732035655812
12100,"Atlantic City-Hammonton, NJ",2006,45-54,17375.0,6206.0,23581.0,0.24264282186368127,0.7368220177261354,0.2631779822738646
12100,"Atlantic City-Hammonton, NJ",2006,55-59,7436.0,2200.0,9636.0,0.09915212380638788,0.771689497716895,0.228310502283105
12100,"Atlantic City-Hammonton, NJ",2006,60-64,6480.0,0.0,6480.0,0.0666776424102733,1.0,0.0
12100,"Atlantic City-Hammonton, NJ",2006,65-74,9335.0,0.0,9335.0,0.09605490615739216,1.0,0.0
12100,"Atlantic City-Hammonton, NJ",2006,75-84,6296.0,0.0,6296.0,0.06478432663812973,1.0,0.0
12100,"Atlantic City-Hammonton, NJ",2006,85+,1865.0,0.0,1865.0,0.019190401712216004,1.0,0.0
35620,"New York-Newark-Jersey City, NY-NJ-PA",2006,15-24,6535.0,44244.0,50779.0,0.023914129723757633,0.12869493294472123,0.8713050670552788
35620,"New York-Newark-Jersey City, NY-NJ-PA",2006,25-34,127022.0,185550.0,312572.0,0.1472043040629861,0.4063767707920095,0.5936232292079905
35620,"New York-Newark-Jersey City, NY-NJ-PA",2006,35-44,328023.0,201073.0,529096.0,0.249175257100795,0.6199687769327306,0.38003122306726944
35620,"New York-Newark-Jersey City, NY-NJ-PA",2006,45-54,376856.0,143970.0,520826.0,0.24528053974095185,0.7235737079178075,0.2764262920821925
35620,"New York-Newark-Jersey City, NY-NJ-PA",2006,55-59,165008.0,55065.0,220073.0,0.10364233779114425,0.7497875704879744,0.25021242951202555
35620,"New York-Newark-Jersey City, NY-NJ-PA",2006,60-64,131353.0,0.0,131353.0,0.06186007368409651,1.0,0.0
