county_fips,county,year,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,fmr_percentile
34001,Atlantic,1993,451,552,647,808,909,45
34003,Bergen,1993,645,783,929,1161,1301,45
34005,Burlington,1993,444,538,634,793,889,45
34007,Camden,1993,444,538,634,793,889,45
34009,Cape May,1993,451,552,647,808,909,45
34011,Cumberland,1993,435,530,622,780,874,45
34013,Essex,1993,535,650,765,956,1071,45
34015,Gloucester,1993,444,538,634,793,889,45
34017,Hudson,1993,456,555,653,818,915,45
34019,Hunterdon,1993,597,726,853,1069,1197,45
34021,Mercer,1993,543,661,778,974,1090,45
34023,Middlesex,1993,597,726,853,1069,1197,45
34025,Monmouth,1993,537,651,767,959,1076,45
34027,Morris,1993,535,650,765,956,1071,45
34029,Ocean,1993,537,651,767,959,1076,45
34031,Passaic,1993,645,783,929,1161,1301,45
34033,Salem,1993,454,542,646,808,961,45
34035,Somerset,1993,597,726,853,1069,1197,45
34037,Sussex,1993,535,650,765,956,1071,45
34039,Union,1993,535,650,765,956,1071,45
34041,Warren,1993,380,462,540,681,759,45
34001,Atlantic,1994,510,579,772,965,1104,45
34003,Bergen,1994,631,767,902,1200,1481,45
34005,Burlington,1994,453,558,688,861,1080,45
34007,Camden,1994,453,558,688,861,1080,45
34009,Cape May,1994,510,579,772,965,1104,45
34011,Cumberland,1994,439,535,645,806,904,45
34013,Essex,1994,546,697,840,1059,1336,45
34015,Gloucester,1994,453,558,688,861,1080,45
34017,Hudson,1994,583,687,800,1015,1119,45
34019,Hunterdon,1994,684,749,936,1272,1469,45
34021,Mercer,1994,455,634,773,1045,1261,45
34023,Middlesex,1994,684,749,936,1272,1469,45
34025,Monmouth,1994,569,680,862,1146,1345,45
34027,Morris,1994,546,697,840,1059,1336,45
34029,Ocean,1994,569,680,862,1146,1345,45
34031,Passaic,1994,631,767,902,1200,1481,45
34033,Salem,1994,453,558,688,861,1080,45
34035,Somerset,1994,684,749,936,1272,1469,45
34037,Sussex,1994,546,697,840,1059,1336,45
34039,Union,1994,546,697,840,1059,1336,45
34041,Warren,1994,546,697,840,1059,1336,45
34001,Atlantic,1995,500,568,758,948,1084,40
34003,Bergen,1995,621,756,888,1183,1459,40
34005,Burlington,1995,440,542,669,837,1049,40
34007,Camden,1995,440,542,669,837,1049,40
34009,Cape May,1995,500,568,758,948,1084,40
34011,Cumberland,1995,436,531,640,799,897,40
34013,Essex,1995,538,687,828,1043,1317,40
34015,Gloucester,1995,440,542,669,837,1049,40
34017,Hudson,1995,580,684,796,1011,1114,40
34019,Hunterdon,1995,681,746,931,1266,1462,40
34021,Mercer,1995,453,631,769,1040,1256,40
34023,Middlesex,1995,681,746,931,1266,1462,40
34025,Monmouth,1995,566,677,859,1141,1339,40
34027,Morris,1995,538,687,828,1043,1317,40
34029,Ocean,1995,566,677,859,1141,1339,40
34031,Passaic,1995,621,756,888,1183,1459,40
34033,Salem,1995,440,542,669,837,1049,40
34035,Somerset,1995,681,746,931,1266,1462,40
34037,Sussex,1995,538,687,828,1043,1317,40
34039,Union,1995,538,687,828,1043,1317,40
34041,Warren,1995,538,687,828,1043,1317,40
34001,Atlantic,1996,459,521,695,870,994,40
34003,Bergen,1996,604,735,863,1150,1418,40
34005,Burlington,1996,446,549,678,848,1063,40
34007,Camden,1996,446,549,678,848,1063,40
34009,Cape May,1996,459,521,695,870,994,40
34011,Cumberland,1996,442,538,649,810,909,40
34013,Essex,1996,511,652,786,990,1251,40
34015,Gloucester,1996,446,549,678,848,1063,40
34017,Hudson,1996,552,651,758,963,1061,40
34019,Hunterdon,1996,643,705,880,1196,1381,40
34021,Mercer,1996,438,610,743,1006,1215,40
34023,Middlesex,1996,643,705,880,1196,1381,40
34025,Monmouth,1996,531,636,807,1072,1257,40
34027,Morris,1996,511,652,786,990,1251,40
