county_clean,county_fips_full,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group
Atlantic,34001,2005,15-24,980.0,3410.0,4390.0,0.04321546700267759,0.22323462414578588,0.7767653758542141
Atlantic,34001,2005,25-34,7452.0,6992.0,14444.0,0.1421877461017483,0.5159235668789809,0.4840764331210191
Atlantic,34001,2005,35-44,14735.0,7108.0,21843.0,0.21502401953063474,0.6745868241541912,0.3254131758458087
Atlantic,34001,2005,45-54,16400.0,6368.0,22768.0,0.22412978421798707,0.7203092059030218,0.2796907940969782
Atlantic,34001,2005,55-59,6754.0,1624.0,8378.0,0.08247361789258151,0.8061589878252566,0.19384101217474337
Atlantic,34001,2005,60-64,5659.0,0.0,5659.0,0.05570759174673177,1.0,0.0
Atlantic,34001,2005,65-74,7839.0,0.0,7839.0,0.07716766419908647,1.0,0.0
Atlantic,34001,2005,75-84,7595.0,0.0,7595.0,0.07476571113561191,1.0,0.0
Atlantic,34001,2005,85+,1556.0,0.0,1556.0,0.015317372814616474,1.0,0.0
Bergen,34003,2005,15-24,763.0,4393.0,5156.0,0.015519696107734866,0.14798293250581845,0.8520170674941815
Bergen,34003,2005,25-34,13773.0,25468.0,39241.0,0.11811644588123038,0.35098493922173235,0.6490150607782676
Bergen,34003,2005,35-44,50079.0,25357.0,75436.0,0.22706435135436137,0.6638607561376532,0.3361392438623469
Bergen,34003,2005,45-54,54557.0,20069.0,74626.0,0.22462622997203685,0.7310722804384531,0.26892771956154693
Bergen,34003,2005,55-59,24781.0,8337.0,33118.0,0.09968605424669574,0.7482637840449302,0.25173621595506973
Bergen,34003,2005,60-64,20251.0,0.0,20251.0,0.060956044584511,1.0,0.0
Bergen,34003,2005,65-74,28909.0,0.0,28909.0,0.08701685313780202,1.0,0.0
Bergen,34003,2005,75-84,24520.0,0.0,24520.0,0.07380584727728062,1.0,0.0
Bergen,34003,2005,85+,7542.0,0.0,7542.0,0.022701619093199447,1.0,0.0
Burlington,34005,2005,15-24,1360.0,3498.0,4858.0,0.02961364495324482,0.2799505969534788,0.7200494030465212
Burlington,34005,2005,25-34,14486.0,9908.0,24394.0,0.1487021932872487,0.5938345494793802,0.4061654505206198
Burlington,34005,2005,35-44,28484.0,6761.0,35245.0,0.21484827426453557,0.8081713718257909,0.19182862817420912
Burlington,34005,2005,45-54,34191.0,5952.0,40143.0,0.2447057532643283,0.8517300650175622,0.1482699349824378
Burlington,34005,2005,55-59,11863.0,2318.0,14181.0,0.08644526535240116,0.8365418517734997,0.16345814822650026
Burlington,34005,2005,60-64,10931.0,0.0,10931.0,0.06663374907038269,1.0,0.0
Burlington,34005,2005,65-74,14120.0,0.0,14120.0,0.08607341843141558,1.0,0.0
Burlington,34005,2005,75-84,11495.0,0.0,11495.0,0.07007180912670836,1.0,0.0
Burlington,34005,2005,85+,2271.0,0.0,2271.0,0.01384367799275813,1.0,0.0
Camden,34007,2005,15-24,1141.0,6026.0,7167.0,0.03759067235220997,0.1592018975861588,0.8407981024138412
Camden,34007,2005,25-34,14690.0,14571.0,29261.0,0.15347295433207978,0.5020334233279792,0.49796657667202077
Camden,34007,2005,35-44,26698.0,13478.0,40176.0,0.21072175979104055,0.66452608522501,0.33547391477499006
Camden,34007,2005,45-54,33575.0,10447.0,44022.0,0.23089389957987821,0.7626868383989823,0.23731316160101767
Camden,34007,2005,55-59,14054.0,3196.0,17250.0,0.0904756659795761,0.8147246376811594,0.1852753623188406
Camden,34007,2005,60-64,10884.0,0.0,10884.0,0.057086211508504715,1.0,0.0
Camden,34007,2005,65-74,14414.0,0.0,14414.0,0.07560094199591942,1.0,0.0
Camden,34007,2005,75-84,12701.0,0.0,12701.0,0.06661631499168673,1.0,0.0
Camden,34007,2005,85+,2419.0,0.0,2419.0,0.012687573101715628,1.0,0.0
Cape May,34009,2005,15-24,257.0,1123.0,1380.0,0.03163976522377109,0.186231884057971,0.813768115942029
Cape May,34009,2005,25-34,2457.0,2035.0,4492.0,0.10298972853998532,0.5469723953695459,0.45302760463045416
Cape May,34009,2005,35-44,5958.0,1614.0,7572.0,0.17360601614086574,0.7868462757527733,0.21315372424722662
Cape May,34009,2005,45-54,7586.0,1190.0,8776.0,0.20121056493030082,0.8644029170464904,0.13559708295350958
Cape May,34009,2005,55-59,3447.0,680.0,4127.0,0.09462123991195892,0.8352314029561425,0.16476859704385752
Cape May,34009,2005,60-64,3174.0,0.0,3174.0,0.07277146001467351,1.0,0.0
Cape May,34009,2005,65-74,5332.0,0.0,5332.0,0.12224871606749817,1.0,0.0
Cape May,34009,2005,75-84,4618.0,0.0,4618.0,0.10587857666911225,1.0,0.0
Cape May,34009,2005,85+,1272.0,0.0,1272.0,0.02916360968451944,1.0,0.0
Cumberland,34011,2005,15-24,776.0,1981.0,2757.0,0.05523500420723645,0.28146536089952845,0.7185346391004716
Cumberland,34011,2005,25-34,4071.0,3381.0,7452.0,0.14929679047962496,0.5462962962962963,0.4537037037037037
Cumberland,34011,2005,35-44,6423.0,3641.0,10064.0,0.20162679809271947,0.6382154213036566,0.3617845786963434
Cumberland,34011,2005,45-54,8410.0,1916.0,10326.0,0.2068758264214449,0.8144489637807476,0.18555103621925237
