State,County,FIPS code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
NJ,Atlantic,34001,1993,0.01,349.87,99.97,85.51
NJ,Atlantic,34001,1994,-2.20,342.16,97.76,83.63
NJ,Atlantic,34001,1995,-1.04,338.60,96.75,82.76
NJ,Atlantic,34001,1996,0.93,341.77,97.65,83.53
NJ,Atlantic,34001,1997,3.19,352.66,100.76,86.20
NJ,Atlantic,34001,1998,4.72,369.32,105.52,90.27
NJ,Atlantic,34001,1999,2.43,378.30,108.09,92.46
NJ,Atlantic,34001,2000,8.15,409.13,116.90,100.00
NJ,Atlantic,34001,2001,8.61,444.35,126.96,108.61
NJ,Atlantic,34001,2002,9.60,487.03,139.16,119.04
NJ,Atlantic,34001,2003,9.96,535.51,153.01,130.89
NJ,Atlantic,34001,2004,19.26,638.67,182.48,156.10
NJ,Atlantic,34001,2005,20.81,771.58,220.46,188.59
NJ,Atlantic,34001,2006,12.56,868.49,248.15,212.27
NJ,Atlantic,34001,2007,-0.67,862.63,246.48,210.84
NJ,Atlantic,34001,2008,-5.51,815.09,232.89,199.22
NJ,Atlantic,34001,2009,-10.26,731.47,209.00,178.79
NJ,Atlantic,34001,2010,-5.57,690.72,197.36,168.82
NJ,Atlantic,34001,2011,-5.32,653.95,186.85,159.84
NJ,Atlantic,34001,2012,-5.71,616.62,176.18,150.71
NJ,Atlantic,34001,2013,0.05,616.95,176.28,150.79
NJ,Bergen,34003,1993,1.00,419.36,97.81,75.24
NJ,Bergen,34003,1994,1.07,423.84,98.86,76.05
NJ,Bergen,34003,1995,1.14,428.67,99.98,76.91
NJ,Bergen,34003,1996,1.91,436.85,101.89,78.38
NJ,Bergen,34003,1997,1.64,444.02,103.56,79.67
NJ,Bergen,34003,1998,4.77,465.21,108.51,83.47
NJ,Bergen,34003,1999,5.55,491.02,114.52,88.10
NJ,Bergen,34003,2000,13.51,557.33,129.99,100.00
NJ,Bergen,34003,2001,9.02,607.58,141.71,109.02
