NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,state,county
"Atlantic County, New Jersey",99762,66755,233,4616,12525,15070,6671,8585,10513,6304,2238,33007,2152,9101,5782,7878,2228,34,001
"Bergen County, New Jersey",329544,212148,409,10595,37733,54680,25395,23372,29508,20871,9585,117396,4408,23571,27219,23763,10136,34,003
"Burlington County, New Jersey",164760,127371,300,9482,21787,32361,15192,13405,18546,12441,3857,37389,2898,9335,8294,7360,2070,34,005
"Camden County, New Jersey",185691,125784,807,10725,23944,32018,14399,13837,15736,10050,4268,59907,3061,16658,10121,10348,4863,34,007
"Cape May County, New Jersey",41082,30796,177,1303,3212,7342,2873,4606,6137,3886,1260,10286,645,2606,1438,2375,793,34,009
"Cumberland County, New Jersey",49716,34269,504,2949,6175,8193,3553,3839,4818,3270,968,15447,853,4108,3106,2838,1154,34,011
"Essex County, New Jersey",273399,123007,74,7283,24373,31612,14284,11884,18269,9977,5251,150392,6231,33845,34135,31373,12416,34,013
"Gloucester County, New Jersey",103725,82427,351,7821,16210,21312,8738,9969,10092,6006,1928,21298,1869,5505,3871,3793,1284,34,015
"Hudson County, New Jersey",243850,79974,1243,10864,16421,16869,9118,6211,10331,6918,1999,163876,7861,46412,36108,29525,12379,34,017
"Hunterdon County, New Jersey",46741,39847,63,1581,7708,12048,4812,4184,5514,3492,445,6894,184,1484,1231,1792,502,34,019
"Mercer County, New Jersey",130756,85864,397,7295,15389,20359,11176,8963,11335,8416,2534,44892,2405,11264,9652,8868,3022,34,021
"Middlesex County, New Jersey",278920,181221,72,13294,35224,46727,22410,18899,22907,15278,6410,97699,4606,27353,24040,18234,6772,34,023
"Monmouth County, New Jersey",231198,175250,447,9779,31041,49871,22788,18669,23628,13093,5934,55948,2740,13993,10446,9618,3325,34,025
"Morris County, New Jersey",182745,135385,133,9784,24761,37880,15268,14829,16800,11920,4010,47360,1424,12418,10035,9097,2754,34,027
"Ocean County, New Jersey",222079,177659,636,12957,23668,35193,15610,18830,34821,25703,10241,44420,2641,13240,7850,6878,3385,34,029
"Passaic County, New Jersey",163192,87579,124,6571,16769,20934,11682,9178,12629,7003,2689,75613,2835,14078,19365,15876,6777,34,031
"Salem County, New Jersey",24656,17534,169,1372,2745,4020,2384,1754,2651,1697,742,7122,428,1517,1357,1592,540,34,033
"Somerset County, New Jersey",114323,87589,19,6306,17868,24513,9605,9652,10776,6183,2667,26734,387,7294,6039,5263,1509,34,035
"Sussex County, New Jersey",54746,45764,65,3406,8600,12790,6401,4824,6767,2304,607,8982,874,1632,2560,1429,931,34,037
"Union County, New Jersey",184598,111620,548,7716,21374,27903,13149,11680,14163,9692,5395,72978,2961,17034,15482,16450,4852,34,039
"Warren County, New Jersey",42146,32637,60,2901,6567,8553,3816,3737,3659,2416,928,9509,406,2177,1730,1779,277,34,041
