NAME,B25007_001E,B25007_002E,B25007_003E,B25007_004E,B25007_005E,B25007_006E,B25007_007E,B25007_008E,B25007_009E,B25007_010E,B25007_011E,B25007_012E,B25007_013E,B25007_014E,B25007_015E,B25007_016E,B25007_017E,B25007_018E,B25007_019E,B25007_020E,B25007_021E,state,county
"Monmouth County, New Jersey",234365,172172,321,8630,25715,43995,25237,19036,29255,14194,5789,62193,2583,13695,11051,11881,5301,4037,5332,4168,4145,34,025
"Sussex County, New Jersey",53190,43479,263,3239,6730,10980,6079,5646,7113,2488,941,9711,461,1949,1130,2066,1149,514,1144,759,539,34,037
"Essex County, New Jersey",279874,118393,264,6234,21127,29618,15742,12895,18853,9097,4563,161481,6433,33043,37094,32737,13496,11944,14006,7963,4765,34,013
"Gloucester County, New Jersey",103876,81254,605,6981,15829,17666,10318,8658,12535,6505,2157,22622,1442,4991,3729,4543,1871,1951,2301,1059,735,34,015
"Passaic County, New Jersey",157309,82502,232,4113,12063,18715,11671,10812,13405,7904,3587,74807,2188,15454,17980,15451,5550,5541,7005,4278,1360,34,031
"Bergen County, New Jersey",336675,217086,865,11414,35428,53109,25437,23083,36157,21093,10500,119589,3978,25340,26317,22359,12063,8244,10315,6781,4192,34,003
"Warren County, New Jersey",41813,29009,92,2257,3730,8295,3655,2783,4736,2297,1164,12804,573,2056,2807,1982,1383,1039,1717,985,262,34,041
"Burlington County, New Jersey",163505,119488,335,7171,17621,30603,16422,11646,20674,10836,4180,44017,2508,11670,8561,8387,3071,2760,3572,1537,1951,34,005
"Mercer County, New Jersey",127965,80484,250,4197,12956,21798,9720,9138,13232,6438,2755,47481,1879,11537,10462,7340,4824,3872,3615,2174,1778,34,021
"Cumberland County, New Jersey",50380,32877,266,2125,6005,7713,3971,3897,5168,2598,1134,17503,1178,3987,3676,2373,1997,540,1382,1500,870,34,011
"Somerset County, New Jersey",117198,87249,422,4913,14807,24036,12468,7829,13438,6376,2960,29949,1002,5924,7397,5473,3148,2046,2459,1249,1251,34,035
"Ocean County, New Jersey",222497,174878,295,12360,18857,32353,19494,18081,38342,23277,11819,47619,1918,10740,11066,9111,4182,1711,4625,2227,2039,34,029
"Atlantic County, New Jersey",101813,69152,302,4869,9361,16781,8036,8878,12047,6630,2248,32661,1737,7217,6975,4940,2939,3022,3165,1331,1335,34,001
"Middlesex County, New Jersey",280855,174162,346,10088,30433,42408,22909,19481,27169,14042,7286,106693,3609,26347,27973,19925,8451,5993,6899,4172,3324,34,023
"Salem County, New Jersey",22747,17188,95,1259,2356,3650,1892,2392,3244,1506,794,5559,107,1128,1056,1259,281,489,723,338,178,34,033
"Cape May County, New Jersey",38708,29608,102,1864,2822,4713,3431,4341,7056,3679,1600,9100,0,1716,1302,2460,734,679,793,1297,119,34,009
"Camden County, New Jersey",185113,123985,360,10640,19701,30124,16019,12527,19953,10511,4150,61128,2908,14643,11972,11804,4659,4315,6242,3029,1556,34,007
"Union County, New Jersey",188035,107462,424,7503,17630,27390,13599,11455,16286,9196,3979,80573,2680,17751,20963,14849,6413,5726,7137,3768,1286,34,039
"Hudson County, New Jersey",255508,76341,292,8895,15424,16420,8522,8159,11253,4422,2954,179167,7124,51325,40948,32767,11535,11465,13032,7986,2985,34,017
"Hunterdon County, New Jersey",47057,38827,128,1633,4943,10126,5574,4980,6632,3530,1281,8230,479,1106,1871,2386,1093,133,699,95,368,34,019
"Morris County, New Jersey",179480,133438,677,7247,21903,34900,15508,16422,21337,10426,5018,46042,1213,10778,9807,9458,3697,2624,4012,1944,2509,34,027
