State,County,FIPS code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
NJ,Atlantic,34001,1975,,100.00,28.57,24.44
NJ,Atlantic,34001,1976,-1.37,98.63,28.18,24.11
NJ,Atlantic,34001,1977,-2.71,95.97,27.42,23.46
NJ,Atlantic,34001,1978,25.29,120.23,34.35,29.39
NJ,Atlantic,34001,1979,35.13,162.47,46.42,39.71
NJ,Atlantic,34001,1980,32.17,214.73,61.35,52.48
NJ,Atlantic,34001,1981,9.82,235.81,67.38,57.64
NJ,Atlantic,34001,1982,0.41,236.77,67.65,57.87
NJ,Atlantic,34001,1983,-9.61,214.02,61.15,52.31
NJ,Atlantic,34001,1984,6.70,228.35,65.25,55.81
NJ,Atlantic,34001,1985,4.15,237.84,67.96,58.13
NJ,Atlantic,34001,1986,7.55,255.79,73.09,62.52
NJ,Atlantic,34001,1987,10.23,281.97,80.57,68.92
NJ,Atlantic,34001,1988,12.62,317.56,90.73,77.62
NJ,Atlantic,34001,1989,9.48,347.66,99.34,84.98
NJ,Atlantic,34001,1990,0.67,349.99,100.00,85.54
NJ,Atlantic,34001,1991,-0.02,349.92,99.98,85.53
NJ,Atlantic,34001,1992,-0.03,349.81,99.95,85.50
NJ,Atlantic,34001,1993,0.01,349.87,99.97,85.51
NJ,Atlantic,34001,1994,-2.20,342.16,97.76,83.63
NJ,Atlantic,34001,1995,-1.04,338.60,96.75,82.76
NJ,Atlantic,34001,1996,0.93,341.77,97.65,83.53
NJ,Atlantic,34001,1997,3.19,352.66,100.76,86.20
NJ,Atlantic,34001,1998,4.72,369.32,105.52,90.27
NJ,Atlantic,34001,1999,2.43,378.30,108.09,92.46
NJ,Atlantic,34001,2000,8.15,409.13,116.90,100.00
NJ,Atlantic,34001,2001,8.61,444.35,126.96,108.61
NJ,Atlantic,34001,2002,9.60,487.03,139.16,119.04
NJ,Atlantic,34001,2003,9.96,535.51,153.01,130.89
NJ,Atlantic,34001,2004,19.26,638.67,182.48,156.10
NJ,Atlantic,34001,2005,20.81,771.58,220.46,188.59
NJ,Atlantic,34001,2006,12.56,868.49,248.15,212.27
NJ,Atlantic,34001,2007,-0.67,862.63,246.48,210.84
NJ,Atlantic,34001,2008,-5.51,815.09,232.89,199.22
NJ,Atlantic,34001,2009,-10.26,731.47,209.00,178.79
NJ,Atlantic,34001,2010,-5.57,690.72,197.36,168.82
NJ,Atlantic,34001,2011,-5.32,653.95,186.85,159.84
NJ,Atlantic,34001,2012,-5.71,616.62,176.18,150.71
NJ,Atlantic,34001,2013,0.05,616.95,176.28,150.79
NJ,Atlantic,34001,2014,-0.79,612.07,174.88,149.60
NJ,Atlantic,34001,2015,-1.26,604.32,172.67,147.71
NJ,Atlantic,34001,2016,-0.71,600.06,171.45,146.66
NJ,Atlantic,34001,2017,-1.85,588.93,168.27,143.94
NJ,Atlantic,34001,2018,4.51,615.47,175.86,150.43
NJ,Atlantic,34001,2019,5.57,649.77,185.66,158.82
NJ,Atlantic,34001,2020,5.39,684.82,195.67,167.38
NJ,Atlantic,34001,2021,15.65,792.02,226.30,193.58
NJ,Atlantic,34001,2022,18.17,935.95,267.43,228.76
NJ,Atlantic,34001,2023,12.14,1049.61,299.90,256.55
NJ,Atlantic,34001,2024,9.27,1146.95,327.71,280.34
NJ,Atlantic,34001,2025,7.78,1236.15,353.20,302.14
NJ,Bergen,34003,1975,,100.00,23.32,17.94
NJ,Bergen,34003,1976,6.87,106.87,24.93,19.18
NJ,Bergen,34003,1977,6.59,113.92,26.57,20.44
NJ,Bergen,34003,1978,10.05,125.36,29.24,22.49
NJ,Bergen,34003,1979,24.07,155.53,36.28,27.91
NJ,Bergen,34003,1980,12.00,174.19,40.63,31.25
NJ,Bergen,34003,1981,9.45,190.65,44.47,34.21
NJ,Bergen,34003,1982,3.44,197.21,46.00,35.38
NJ,Bergen,34003,1983,6.17,209.37,48.83,37.57
NJ,Bergen,34003,1984,18.86,248.85,58.04,44.65
NJ,Bergen,34003,1985,19.76,298.03,69.51,53.48
NJ,Bergen,34003,1986,21.73,362.80,84.62,65.10
NJ,Bergen,34003,1987,18.08,428.39,99.92,76.87
NJ,Bergen,34003,1988,7.28,459.59,107.19,82.46
NJ,Bergen,34003,1989,-1.98,450.51,105.08,80.83
NJ,Bergen,34003,1990,-4.83,428.75,100.00,76.93
NJ,Bergen,34003,1991,-4.05,411.39,95.95,73.81
NJ,Bergen,34003,1992,0.93,415.22,96.84,74.50
NJ,Bergen,34003,1993,1.00,419.36,97.81,75.24
NJ,Bergen,34003,1994,1.07,423.84,98.86,76.05
NJ,Bergen,34003,1995,1.14,428.67,99.98,76.91
NJ,Bergen,34003,1996,1.91,436.85,101.89,78.38
NJ,Bergen,34003,1997,1.64,444.02,103.56,79.67
NJ,Bergen,34003,1998,4.77,465.21,108.51,83.47
NJ,Bergen,34003,1999,5.55,491.02,114.52,88.10
NJ,Bergen,34003,2000,13.51,557.33,129.99,100.00
NJ,Bergen,34003,2001,9.02,607.58,141.71,109.02
NJ,Bergen,34003,2002,10.77,673.04,156.98,120.76
NJ,Bergen,34003,2003,6.97,719.98,167.93,129.18
NJ,Bergen,34003,2004,13.66,818.33,190.86,146.83
NJ,Bergen,34003,2005,16.34,952.01,222.04,170.82
NJ,Bergen,34003,2006,8.07,1028.82,239.96,184.60
NJ,Bergen,34003,2007,-0.58,1022.83,238.56,183.52
NJ,Bergen,34003,2008,-3.86,983.31,229.35,176.43
NJ,Bergen,34003,2009,-7.76,906.97,211.54,162.74
NJ,Bergen,34003,2010,-3.36,876.54,204.44,157.28
NJ,Bergen,34003,2011,-3.26,847.96,197.78,152.15
NJ,Bergen,34003,2012,-2.54,826.39,192.75,148.28
NJ,Bergen,34003,2013,0.63,831.57,193.95,149.21
NJ,Bergen,34003,2014,3.33,859.29,200.42,154.18
NJ,Bergen,34003,2015,2.62,881.81,205.67,158.22
NJ,Bergen,34003,2016,2.67,905.35,211.16,162.45
NJ,Bergen,34003,2017,2.83,931.00,217.15,167.05
NJ,Bergen,34003,2018,3.31,961.83,224.34,172.58
NJ,Bergen,34003,2019,2.16,982.64,229.19,176.31
NJ,Bergen,34003,2020,2.51,1007.26,234.93,180.73
NJ,Bergen,34003,2021,7.71,1084.93,253.05,194.67
NJ,Bergen,34003,2022,10.31,1196.75,279.13,214.73
NJ,Bergen,34003,2023,9.04,1304.93,304.36,234.14
NJ,Bergen,34003,2024,9.89,1434.05,334.48,257.31
NJ,Bergen,34003,2025,6.79,1531.35,357.17,274.77
NJ,Burlington,34005,1975,,100.00,27.42,24.92
NJ,Burlington,34005,1976,3.78,103.78,28.46,25.86
NJ,Burlington,34005,1977,-0.29,103.47,28.37,25.79
NJ,Burlington,34005,1978,13.05,116.97,32.08,29.15
NJ,Burlington,34005,1979,23.34,144.28,39.56,35.96
NJ,Burlington,34005,1980,19.87,172.95,47.43,43.10
NJ,Burlington,34005,1981,7.57,186.05,51.02,46.36
NJ,Burlington,34005,1982,0.30,186.59,51.17,46.50
NJ,Burlington,34005,1983,5.71,197.26,54.09,49.16
NJ,Burlington,34005,1984,6.14,209.38,57.42,52.18
NJ,Burlington,34005,1985,7.27,224.60,61.59,55.97
NJ,Burlington,34005,1986,11.07,249.46,68.41,62.17
NJ,Burlington,34005,1987,18.09,294.59,80.78,73.41
NJ,Burlington,34005,1988,19.06,350.72,96.18,87.40
NJ,Burlington,34005,1989,4.73,367.30,100.72,91.54
NJ,Burlington,34005,1990,-0.72,364.66,100.00,90.88
NJ,Burlington,34005,1991,-2.38,355.98,97.62,88.71
NJ,Burlington,34005,1992,-0.07,355.72,97.55,88.65
NJ,Burlington,34005,1993,0.09,356.04,97.64,88.73
NJ,Burlington,34005,1994,0.09,356.37,97.73,88.81
NJ,Burlington,34005,1995,-0.22,355.60,97.51,88.62
NJ,Burlington,34005,1996,1.40,360.58,98.88,89.86
NJ,Burlington,34005,1997,1.64,366.49,100.50,91.33
NJ,Burlington,34005,1998,1.59,372.33,102.10,92.79
NJ,Burlington,34005,1999,2.06,380.00,104.21,94.70
NJ,Burlington,34005,2000,5.60,401.27,110.04,100.00
NJ,Burlington,34005,2001,7.80,432.57,118.62,107.80
NJ,Burlington,34005,2002,10.24,476.87,130.77,118.84
NJ,Burlington,34005,2003,8.25,516.20,141.55,128.64
NJ,Burlington,34005,2004,15.31,595.21,163.22,148.33
NJ,Burlington,34005,2005,16.17,691.44,189.61,172.31
NJ,Burlington,34005,2006,9.03,753.88,206.73,187.87
NJ,Burlington,34005,2007,0.15,754.99,207.04,188.15
NJ,Burlington,34005,2008,-4.20,723.31,198.35,180.26
NJ,Burlington,34005,2009,-7.86,666.48,182.77,166.09
NJ,Burlington,34005,2010,-4.34,637.57,174.84,158.89
NJ,Burlington,34005,2011,-5.80,600.57,164.69,149.67
NJ,Burlington,34005,2012,-3.97,576.74,158.16,143.73
NJ,Burlington,34005,2013,-0.22,575.50,157.82,143.42
NJ,Burlington,34005,2014,1.89,586.39,160.80,146.13
NJ,Burlington,34005,2015,1.84,597.16,163.76,148.82
NJ,Burlington,34005,2016,1.22,604.44,165.75,150.63
NJ,Burlington,34005,2017,1.61,614.17,168.42,153.06
NJ,Burlington,34005,2018,2.03,626.64,171.84,156.16
NJ,Burlington,34005,2019,3.31,647.36,177.52,161.33
NJ,Burlington,34005,2020,3.92,672.74,184.48,167.65
NJ,Burlington,34005,2021,12.49,756.77,207.53,188.60
NJ,Burlington,34005,2022,16.81,884.01,242.42,220.30
NJ,Burlington,34005,2023,11.92,989.35,271.30,246.56
NJ,Burlington,34005,2024,9.26,1080.98,296.43,269.39
NJ,Burlington,34005,2025,5.69,1142.53,313.31,284.73
NJ,Camden,34007,1975,,100.00,32.86,31.14
NJ,Camden,34007,1976,-1.03,98.97,32.52,30.82
NJ,Camden,34007,1977,2.70,101.64,33.40,31.65
NJ,Camden,34007,1978,7.55,109.32,35.92,34.05
NJ,Camden,34007,1979,15.86,126.66,41.61,39.45
NJ,Camden,34007,1980,14.55,145.09,47.67,45.19
NJ,Camden,34007,1981,10.47,160.27,52.66,49.91
NJ,Camden,34007,1982,2.18,163.76,53.80,51.00
NJ,Camden,34007,1983,3.80,169.99,55.85,52.94
NJ,Camden,34007,1984,6.43,180.92,59.44,56.34
NJ,Camden,34007,1985,5.70,191.24,62.83,59.56
NJ,Camden,34007,1986,8.73,207.92,68.31,64.75
NJ,Camden,34007,1987,15.08,239.28,78.62,74.52
NJ,Camden,34007,1988,17.27,280.60,92.19,87.39
NJ,Camden,34007,1989,7.03,300.34,98.68,93.54
NJ,Camden,34007,1990,1.34,304.36,100.00,94.79
NJ,Camden,34007,1991,-1.78,298.95,98.22,93.10
NJ,Camden,34007,1992,0.03,299.05,98.25,93.13
NJ,Camden,34007,1993,-0.31,298.13,97.95,92.85
NJ,Camden,34007,1994,-0.71,296.00,97.25,92.18
NJ,Camden,34007,1995,-0.27,295.19,96.99,91.93
NJ,Camden,34007,1996,0.29,296.03,97.26,92.20
NJ,Camden,34007,1997,-0.25,295.28,97.02,91.96
NJ,Camden,34007,1998,2.89,303.83,99.82,94.62
NJ,Camden,34007,1999,1.90,309.61,101.72,96.42
NJ,Camden,34007,2000,3.71,321.09,105.50,100.00
NJ,Camden,34007,2001,7.60,345.49,113.51,107.60
NJ,Camden,34007,2002,9.13,377.04,123.88,117.42
NJ,Camden,34007,2003,8.03,407.32,133.83,126.85
NJ,Camden,34007,2004,15.37,469.92,154.40,146.35
NJ,Camden,34007,2005,16.04,545.32,179.17,169.83
NJ,Camden,34007,2006,10.25,601.22,197.53,187.24
NJ,Camden,34007,2007,1.79,611.95,201.06,190.58
NJ,Camden,34007,2008,-3.84,588.45,193.34,183.26
NJ,Camden,34007,2009,-7.54,544.09,178.76,169.45
NJ,Camden,34007,2010,-4.43,520.00,170.85,161.95
NJ,Camden,34007,2011,-5.69,490.39,161.12,152.72
NJ,Camden,34007,2012,-5.16,465.10,152.81,144.85
NJ,Camden,34007,2013,0.05,465.35,152.89,144.93
NJ,Camden,34007,2014,1.61,472.82,155.35,147.25
NJ,Camden,34007,2015,1.15,478.27,157.14,148.95
NJ,Camden,34007,2016,2.16,488.59,160.53,152.16
NJ,Camden,34007,2017,2.44,500.50,164.44,155.87
NJ,Camden,34007,2018,3.78,519.44,170.66,161.77
NJ,Camden,34007,2019,3.52,537.72,176.67,167.46
NJ,Camden,34007,2020,5.03,564.74,185.55,175.88
NJ,Camden,34007,2021,13.72,642.24,211.01,200.02
NJ,Camden,34007,2022,17.77,756.40,248.52,235.57
NJ,Camden,34007,2023,12.74,852.75,280.18,265.58
NJ,Camden,34007,2024,9.01,929.55,305.41,289.50
NJ,Camden,34007,2025,5.82,983.67,323.19,306.35
NJ,Cape May,34009,1975,,100.00,30.00,21.87
NJ,Cape May,34009,1976,8.46,108.46,32.54,23.72
NJ,Cape May,34009,1977,-12.20,95.23,28.57,20.83
NJ,Cape May,34009,1978,9.83,104.59,31.38,22.87
NJ,Cape May,34009,1979,33.49,139.61,41.88,30.53
NJ,Cape May,34009,1980,26.51,176.63,52.99,38.63
NJ,Cape May,34009,1981,10.26,194.75,58.43,42.59
NJ,Cape May,34009,1982,-3.55,187.84,56.35,41.08
NJ,Cape May,34009,1983,-0.23,187.40,56.22,40.99
NJ,Cape May,34009,1984,5.61,197.91,59.37,43.28
NJ,Cape May,34009,1985,6.43,210.64,63.19,46.07
NJ,Cape May,34009,1986,9.07,229.74,68.92,50.25
NJ,Cape May,34009,1987,15.06,264.35,79.30,57.82
NJ,Cape May,34009,1988,14.54,302.78,90.83,66.22
NJ,Cape May,34009,1989,10.00,333.06,99.92,72.84
NJ,Cape May,34009,1990,0.08,333.33,100.00,72.90
NJ,Cape May,34009,1991,0.67,335.57,100.67,73.39
NJ,Cape May,34009,1992,1.09,339.23,101.77,74.19
NJ,Cape May,34009,1993,0.25,340.07,102.02,74.38
NJ,Cape May,34009,1994,-0.01,340.03,102.01,74.37
NJ,Cape May,34009,1995,-1.92,333.50,100.05,72.94
NJ,Cape May,34009,1996,2.73,342.61,102.78,74.93
NJ,Cape May,34009,1997,2.30,350.48,105.14,76.65
NJ,Cape May,34009,1998,5.65,370.27,111.08,80.98
NJ,Cape May,34009,1999,6.88,395.76,118.73,86.56
NJ,Cape May,34009,2000,15.53,457.22,137.17,100.00
NJ,Cape May,34009,2001,13.53,519.10,155.73,113.53
NJ,Cape May,34009,2002,12.75,585.29,175.59,128.01
NJ,Cape May,34009,2003,9.80,642.63,192.79,140.55
NJ,Cape May,34009,2004,21.32,779.65,233.90,170.52
NJ,Cape May,34009,2005,21.99,951.10,285.33,208.02
NJ,Cape May,34009,2006,10.88,1054.61,316.38,230.66
NJ,Cape May,34009,2007,-2.96,1023.37,307.01,223.82
NJ,Cape May,34009,2008,-4.09,981.55,294.47,214.68
NJ,Cape May,34009,2009,-6.85,914.36,274.31,199.98
NJ,Cape May,34009,2010,-4.90,869.52,260.86,190.17
NJ,Cape May,34009,2011,-4.29,832.21,249.66,182.01
NJ,Cape May,34009,2012,-2.01,815.50,244.65,178.36
NJ,Cape May,34009,2013,0.10,816.34,244.90,178.54
NJ,Cape May,34009,2014,-1.58,803.42,241.03,175.72
NJ,Cape May,34009,2015,2.95,827.15,248.15,180.91
NJ,Cape May,34009,2016,0.45,830.86,249.26,181.72
NJ,Cape May,34009,2017,2.98,855.64,256.69,187.14
NJ,Cape May,34009,2018,4.54,894.51,268.35,195.64
NJ,Cape May,34009,2019,6.10,949.12,284.74,207.58
NJ,Cape May,34009,2020,6.37,1009.57,302.87,220.80
NJ,Cape May,34009,2021,15.59,1166.95,350.08,255.22
NJ,Cape May,34009,2022,19.34,1392.67,417.80,304.59
NJ,Cape May,34009,2023,11.37,1551.02,465.31,339.23
NJ,Cape May,34009,2024,11.91,1735.79,520.74,379.64
NJ,Cape May,34009,2025,3.94,1804.19,541.26,394.60
NJ,Cumberland,34011,1975,,100.00,33.26,29.51
NJ,Cumberland,34011,1976,5.83,105.83,35.20,31.23
NJ,Cumberland,34011,1977,4.21,110.28,36.68,32.55
NJ,Cumberland,34011,1978,7.98,119.09,39.61,35.14
NJ,Cumberland,34011,1979,14.22,136.02,45.24,40.14
NJ,Cumberland,34011,1980,6.79,145.25,48.31,42.86
NJ,Cumberland,34011,1981,9.38,158.87,52.84,46.88
NJ,Cumberland,34011,1982,11.20,176.66,58.76,52.13
NJ,Cumberland,34011,1983,-7.25,163.85,54.50,48.35
NJ,Cumberland,34011,1984,8.74,178.17,59.26,52.58
NJ,Cumberland,34011,1985,4.63,186.43,62.01,55.01
NJ,Cumberland,34011,1986,7.97,201.28,66.95,59.40
NJ,Cumberland,34011,1987,12.94,227.33,75.61,67.09
NJ,Cumberland,34011,1988,14.74,260.84,86.76,76.97
NJ,Cumberland,34011,1989,12.35,293.06,97.47,86.48
NJ,Cumberland,34011,1990,2.59,300.66,100.00,88.73
NJ,Cumberland,34011,1991,-0.31,299.73,99.69,88.45
NJ,Cumberland,34011,1992,1.83,305.23,101.52,90.07
NJ,Cumberland,34011,1993,0.32,306.19,101.84,90.36
NJ,Cumberland,34011,1994,0.40,307.42,102.25,90.72
NJ,Cumberland,34011,1995,0.94,310.30,103.21,91.57
NJ,Cumberland,34011,1996,1.58,315.19,104.83,93.01
NJ,Cumberland,34011,1997,1.85,321.02,106.77,94.73
NJ,Cumberland,34011,1998,2.76,329.87,109.71,97.34
NJ,Cumberland,34011,1999,1.35,334.30,111.19,98.65
NJ,Cumberland,34011,2000,1.36,338.87,112.71,100.00
NJ,Cumberland,34011,2001,5.85,358.68,119.30,105.85
NJ,Cumberland,34011,2002,6.32,381.34,126.83,112.53
NJ,Cumberland,34011,2003,5.40,401.94,133.69,118.61
NJ,Cumberland,34011,2004,12.68,452.91,150.64,133.66
NJ,Cumberland,34011,2005,18.35,536.04,178.29,158.19
NJ,Cumberland,34011,2006,14.74,615.03,204.56,181.50
