State,County,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year
34,10900,2,2,1,149300,329433,1,3193.36,60,43,1,63300,2005
34,10900,2,2,1,56890,321250,1,2940.15,76,43,1,43847,2005
34,10900,2,2,1,209062,321250,1,3223.87,70,40,1,127959,2005
34,10900,2,4,1,131846,141104,1,3515.44,38,41,1,51346,2005
34,10900,2,2,1,57505,276382,1,3175.67,65,34,1,48649,2005
34,10900,2,1,2,72012,307836,2,3369.74,29,43,7,72012,2005
34,10900,2,4,1,88148,176429,1,3592.02,51,42,1,78037,2005
34,10900,2,3,2,23120,154255,1,3035.73,48,39,1,23120,2005
34,10900,2,1,2,49010,319235,2,3645.27,28,44,7,49010,2005
34,10900,2,2,1,118000,315205,1,3444.85,40,44,1,54750,2005
34,12100,4,1,2,0,164072,2,0.0,67,33,3,0,2005
34,12100,4,2,1,43380,248312,1,2491.61,63,40,5,22380,2005
34,12100,4,2,1,14500,240137,1,2272.37,62,36,1,14450,2005
34,12100,4,1,1,15000,230978,2,2206.07,32,39,7,15000,2005
34,12100,4,4,1,115250,123837,1,2380.48,40,39,1,19021,2005
34,12100,4,3,1,84050,230169,1,2745.92,32,39,1,51050,2005
34,12100,4,2,1,46450,138550,2,0.0,49,33,6,14450,2005
34,12100,4,4,1,27680,108719,1,0.0,51,39,1,1680,2005
34,12100,4,1,2,20180,243864,2,2657.79,64,40,5,20180,2005
34,12100,4,1,1,60040,305210,2,3161.5,45,40,7,60040,2005
34,12100,4,3,1,27701,304828,1,2957.55,80,39,1,6959,2005
34,12100,4,1,1,18000,159274,2,2379.76,45,39,7,18000,2005
34,12100,4,1,2,3055,253134,2,2485.79,80,40,4,3055,2005
34,12100,4,1,2,8400,198749,2,1951.09,73,37,4,8400,2005
34,12100,4,5,1,38358,138826,1,2458.3,72,37,1,6559,2005
34,12100,4,3,1,94050,215282,1,2439.61,49,39,5,47050,2005
34,12100,4,3,2,18200,121041,1,0.0,31,33,1,18200,2005
34,12100,4,3,1,44705,157083,1,2866.81,39,39,5,44705,2005
34,12100,4,4,1,94000,301464,1,3234.15,51,40,1,34000,2005
34,12100,4,2,1,68705,223606,1,2208.62,62,39,1,45025,2005
34,12100,4,1,1,22512,232584,2,2547.88,71,39,4,22512,2005
34,12100,4,4,2,15600,121041,1,0.0,31,34,1,7800,2005
34,12100,4,1,1,8523,117657,2,3184.19,50,42,5,8523,2005
34,12100,4,1,2,6755,137829,2,2410.98,80,43,4,6755,2005
34,12100,4,5,1,66689,148621,1,2657.79,63,37,1,25664,2005
34,12100,4,2,1,127432,240137,1,2443.67,57,43,1,26216,2005
